,Location,Title,Price,Company,Summary
7,London,Data Scientist,"
£45,000 - £55,000 a year","
Ultimate Asset","
 Understanding of common data science techniques including data preparation, exploration and visualisation.Decision trees, Regression, Clustering in order to…"
15,London,Data Scientist,"
£75,000 - £85,000 a year","
Woolf Group","
 Leading retail bank based in London are looking to recruit an experienced Data Scientist to join their team.A commercially focused mind-set, with a passion for…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
17,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
 Data Scientist | Birmingham | £50,000 - £60,000.An opportunity for a Data Scientist in Birmingham for £50,000- £60,000 to join a very prestigious digital…"
18,United Kingdom,Water Quality Distribution Scientist,"
£35,000 a year","

South East Water","
 Scientist with a degree in a relevant science.Excellent analytical and interpretation skills relating to data analysis and investigations."
0,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.E.g. regression, k-means, etc."
6,London,Data Scientist,"
£500 - £550 a day","
Lawrence Harvey","
 I am currently looking for a data scientist to work a 6 month contract role to develop and use data infrastructure for analysis of business and security data."
9,Richmond TW9,Data Analyst,"
£40,000 a year","

UK Government - The National Archives","
 Extensive experience of large scale data analysis and manipulation using different programming techniques (for example, Python, Shell scripting, XSLT, SQL) for…"
10,London,Data Scientist - Deep Learning,"
£70,000 - £90,000 a year","
Oho Group","
 Data Scientist – Deep Learning – Cyber Security.Data Scientist – Machine Learning – Central London.Data Scientist/Python/Machine Learning/Pytorch/AWS."
11,London,Senior Data Scientist - Python - R - Machine Learning - NLP,"
£65,000 - £85,000 a year","
Parallel Consulting","
 Lead/Senior Data Scientist - Central London - Machine Learning - NLP - R - SQL - FS - up to £85,000 + package.Please click on the link to apply!"
13,Birkenhead,Graduate Data Scientist,"
£20,000 - £25,000 a year","

Crowder Consulting","
 You’ll be involved in assessing the impacts of data improvements on regulatory reporting which will inform key business stakeholders and drive data improvement…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
17,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
 Data Scientist | Birmingham | £50,000 - £60,000.Machine Learning, Python, R, NoSQL, Scikit-learn, AI.An opportunity for a Data Scientist in Birmingham for £50…"
18,United Kingdom,Water Quality Distribution Scientist,"
£35,000 a year","

South East Water","
 Excellent analytical and interpretation skills relating to data analysis and investigations.Design and plan South East Waters, annual, sequential flushing…"
0,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.AWS, Azure or GCP experience."
7,London,Data Scientist,"
£365 - £450 a week","
J&C Associates Ltd","
 Big data query experience - HiveQL.We are currently looking for a Data Scientist for a global IT Consultancy to work on a project with a leading name in the…"
9,London,Research Associate or Research Fellow: AI-enabled Neurology...,"
£38,304 - £54,534 a year","

King's College London","
 The applicant should ideally have some knowledge and experience of Medical image analysis, machine learning, data science and statistical modelling."
15,London,Senior Data Scientist,"
£60,000 - £90,000 a year","
Tractable","
 4+ years industry experience as a data scientist or analyst.Wrangle/clean data and build data pipelines using big-data technologies like Apache Spark."
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.AWS, Azure or GCP experience."
7,United Kingdom,Coastal Process Scientist,"
£20,751 - £26,317 a year","

Teignbridge District Council","
 You will streamline data management processes for the coastal geospatial data.You will lead on an efficient data management structure and ensure region wide…"
10,London,Data Scientist / Quantitative Analyst,"
£50,000 - £90,000 a year","
Blue Pelican","
 We are looking for a Masters or Phd graduate with proven commercial experience in sports trading or betting, as a Data Scientist to join this established data…"
11,United Kingdom,Data Industrial Placement 2020,"
£16,500 a year","
EDF Energy Limited","
 You’ll work alongside Data Engineers, Data Scientists, Big Data Application Developers, DevOps Engineers, and cross-functional IT teams."
14,London,Data Scientist - Machine Learning,"
£60,000 - £80,000 a year","
Oho Group","
 Data Scientist - Machine Learning - AI.Data Scientist - Machine Learning - AI.They are looking for a data scientist with:At least 2 years experience."
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 As a Data Scientist you will be responsible for developing and implementing Machine Learning and Artificial capabilities."
17,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
 Data Scientist | Birmingham | £50,000 - £60,000.An opportunity for a Data Scientist in Birmingham for £50,000- £60,000 to join a very prestigious digital…"
18,United Kingdom,Water Quality Distribution Scientist,"
£35,000 a year","

South East Water","
 Scientist with a degree in a relevant science.Excellent analytical and interpretation skills relating to data analysis and investigations."
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. E.g. regression, k-means, etc."
6,London,Lead Data Scientist,"
£40,000 - £65,000 a year","

Capita IT Resourcing","
£40K to £65K. I am recruiting for a Data Scientist to join a start-up in London that is working with gambling industries to follow responsible gambling…"
8,London,Data Scientist,"
£75,000 a year","
Datatech Analytics","
The organisation looking for this talented Data Scientist is the leader in data helping the world’s largest brands use their data to improve customer…"
9,London,Lead Data Scientist,"
£100,000 - £110,000 a year","
Vertus Partners","
A proven track record of being someone who has defined processes within a new data science function. This is a leadership role within the company where you will…"
11,London,Director of Research,"
£100,000 - £110,000 a year","

Babylon Health","
Design Research champions the human-centred exploration of complex problems using evidence, data and insight to help us make better decisions."
12,London,Junior Quantitative Finance Analyst,"
£45,000 - £54,000 a year","

Mazars","
As part of the Quantitative Finance team within the Financial Services Consulting department, you will interact with banks, insurance companies, large…"
15,Swansea,Data Scientist,"
£50,000 - £60,000 a year","
We Predict","
We’re looking for a highly motivated data scientist who can help us address our data analytics challenges. Conduct sophisticated analysis to discover trends and…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
Data Scientist | Birmingham | £50,000 - £60,000. Machine Learning, Python, R, NoSQL, Scikit-learn, AI. An opportunity for a Data Scientist in Birmingham for £50…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. AWS, Azure or GCP experience."
7,Lincoln,Data Scientist,"
£50,000 a year","

Anglian Water Services Ltd","
As part of the wider Enterprise Data team we are looking for a Data Scientist to exploit next generation data science tools and techniques to create artificial…"
10,United Kingdom,Data Industrial Placement 2020,"
£16,500 a year","
EDF Energy Limited","
You’ll work alongside Data Engineers, Data Scientists, Big Data Application Developers, DevOps Engineers, and cross-functional IT teams."
12,Cardiff CF14,Healthcare Scientist,"
£24,214 - £30,112 a year","

Public Health Wales NHS Trust","
The duties will be varied, but may include specimen reception, performing manual and computerised data entry ensuring accuracy, integrity and appropriateness of…"
14,London,Data Scientist/Data Engineer - personalisation,"
£65,000 - £75,000 a year","
Harnham","
With a clear vision and business plan, this company emphasises on a future where customer experience is made simpler with never-used-before data science methods…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
Data Scientist | Birmingham | £50,000 - £60,000. An opportunity for a Data Scientist in Birmingham for £50,000- £60,000 to join a very prestigious digital…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. E.g. regression, k-means, etc."
6,London,Data Engineer,"
£100,000 a year","
Imogen Moody","
Access and platform unique data sources using Scala, Spark, Kafka, AWS data stack. You will be joining a strong team to allow for real-time data ingestion for…"
8,London,Insights Data Analyst,"
£35,000 - £45,000 a year","

Babylon Health","
Provide statistically sound analysis of data to inform key business decisions. Minimum 1-2 years experience using Tableau to build reporting dashboards and…"
9,London,Data Scientist/Data Engineer - personalisation,"
£65,000 - £75,000 a year","
Harnham","
With a clear vision and business plan, this company emphasises on a future where customer experience is made simpler with never-used-before data science methods…"
11,London,Data Scientist - Python,"
£60,000 - £70,000 a year","
Bettor Believe","
2+ years’ experience working with large, complex data sets to solve problems and answer questions. This company is a leading quantitative trading fund, and the…"
13,London,Data Scientist Cyber Security OSINT,"
£34,750 - £38,500 a year","
Vector Recruitment Limited","
Data Scientist – Cyber Security OSINT. £34k – £38.5k (dep on exp). This is a fantastic opportunity to work for a company at the forefront of development of Open…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
Data Scientist | Birmingham | £50,000 - £60,000. Machine Learning, Python, R, NoSQL, Scikit-learn, AI. An opportunity for a Data Scientist in Birmingham for £50…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.E.g. regression, k-means, etc."
7,Hall,Data Scientist x 2 - Kingston upon Thames,"
£39,438 - £43,744 a year","

Surrey County Council","
 Are you curious, analytical and passionate about turning data into insight?You will proactively seek out opportunities for exploratory data analysis, execute…"
9,London,Data Scientist - Machine Learning,"
£55,000 - £65,000 a year","

Redline Group","
 My client is looking for a talented data scientist who can deliver first class image analytics for a revolutionary detection system that will actually save…"
11,London,Data Scientist,"
£50,000 - £60,000 a year","
Aspire Data Recruitment","
 As well as technical experience with some of the core Python data science libraries (scikit-learn, Numpy/Scipy, pandas, matplotlib, Jupyter notebooks), you will…"
15,London,Junior Quantitative Analyst/Developer,"
£60,000 a year","

Legal & General Group Plc.","
 Good programming skills in at least one language and knowledge of computer science fundamentals, e.g. data structures, algorithms, complexity."
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
 Data Scientist | Birmingham | £50,000 - £60,000.Machine Learning, Python, R, NoSQL, Scikit-learn, AI.An opportunity for a Data Scientist in Birmingham for £50…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.AWS, Azure or GCP experience."
10,London,Senior Data Scientist,"
£60,000 - £80,000 a year","
Consortia","
 Senior Data Scientist / London – Central / up to £80,000 – with 10% bonus.If you are interested in this or other Data Scientist opportunities please contact…"
11,London,Data Scientist,"
£30,000 - £36,000 a year","
Understanding Recruitment","
 Data Scientist / Data Analyst / Statistical Data Analyst / Python / R Programming.Skills required for the Data Scientist are:Ability to code in Python or R."
13,London,Data Scientist/Data Engineer - personalisation,"
£65,000 - £75,000 a year","
Harnham","
 With a clear vision and business plan, this company emphasises on a future where customer experience is made simpler with never-used-before data science methods…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 As a Data Scientist you will be responsible for developing and implementing Machine Learning and Artificial capabilities."
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
 Data Scientist | Birmingham | £50,000 - £60,000.An opportunity for a Data Scientist in Birmingham for £50,000- £60,000 to join a very prestigious digital…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. E.g. regression, k-means, etc."
11,Swansea,Data Scientist,"
£50,000 - £60,000 a year","
We Predict","
We’re looking for a highly motivated data scientist who can help us address our data analytics challenges. Conduct sophisticated analysis to discover trends and…"
12,London SW7,Energy Marketing & Trading Analyst Programme,"
£38,000 a year","

Centrica","
Ability to work with models, make and test hypotheses and turn data into useful information. Energy Marketing & Trading Analyst Programme."
14,Lincoln,Data Scientist,"
£50,000 a year","

Anglian Water Services Ltd","
Your primary focus will be in applying data mining techniques, statistical analysis, building high quality predictive algorithms and models, to classify data…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
Data Scientist | Birmingham | £50,000 - £60,000. Machine Learning, Python, R, NoSQL, Scikit-learn, AI. An opportunity for a Data Scientist in Birmingham for £50…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
 We are looking to add a data scientist with experience in data analysis and statistical modelling to the team.Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
 We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
 We are seeking to expand our talented and dynamic team of data scientists.We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
 Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team.AWS, Azure or GCP experience."
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
 Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. AWS, Azure or GCP experience."
6,London,"Consulting Director, Data","
£120,000 a year","
Engage Transform Consultancy Ltd","
Data Lake, Enterprise Data Warehouses, Data Marts, etc.). As a Director for Data Consulting you will be working in a customer-facing environment working into C…"
8,London,Senior Data Scientist,"
£65,000 - £85,000 a year","
Parallel Consulting","
The team is working within a Big Data environment which includes a team of Data Engineers and Data Scientists. Please click on the link to apply!"
11,Hall,Graduate Quality Data Scientist- (Sep 2020),"
£31,000 a year","

BMW Hams Hall Motoren GmbH","
Our manufacturing systems produce significant amounts of data and we need data scientists to analyse and explore the potential within this data to support our…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
Data Scientist | Birmingham | £50,000 - £60,000. An opportunity for a Data Scientist in Birmingham for £50,000- £60,000 to join a very prestigious digital…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
This is an exciting role for a smart, creative person to take point on research and development of sophisticated, cutting-edge platform for machine learning on…"
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. E.g. regression, k-means, etc."
6,London EC3A,Senior Data Scientist - AI,"
£100,000 - £150,000 a year","
onezeero","
Identify AI solutions to challenging engineering and data science problems. You have experience with big data technologies such as Spark, AWS and write…"
12,London,Data Scientist Cyber Security OSINT,"
£34,750 - £38,500 a year","
Vector Recruitment Limited","
Data Scientist – Cyber Security OSINT. £34k – £38.5k (dep on exp). This is a fantastic opportunity to work for a company at the forefront of development of Open…"
13,London,Data Engineer,"
£100,000 a year","
Imogen Moody","
Access and platform unique data sources using Scala, Spark, Kafka, AWS data stack. You will be joining a strong team to allow for real-time data ingestion for…"
14,London,Data Scientist ( Python / AWS / Machine learning ),"
£50,000 - £90,000 a year","

Venturi","
Proficient working with relational and non-relational data sources. Experience working with and manipulating textual data (NLP experience will be beneficial)."
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
Data Scientist | Birmingham | £50,000 - £60,000. Machine Learning, Python, R, NoSQL, Scikit-learn, AI. An opportunity for a Data Scientist in Birmingham for £50…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
4,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
5,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. AWS, Azure or GCP experience."
7,London,Data Scientist - Machine Learning,"
£60,000 - £80,000 a year","
Oho Group","
Data Scientist - Machine Learning - AI. Data Scientist - Machine Learning - AI. They are looking for a data scientist with: At least 2 years experience."
9,London,Data Scientist - Python,"
£40,000 a year","

Give A Grad A Go","
Looking for Data Scientist Jobs in London? In this Data Scientist job, your responsibilities will include: In this Data Scientist job, you will be working for…"
13,Dundee,Postdoctoral Research Assistant/Health Data Scientist,"
£32,817 - £49,553 a year","

University of Dundee","
We are recruiting for a Health Data Scientist. Do you get really excited by BIG data, innovative engineering, data analysis, data visualisation and applied ML…"
14,London,Machine Learning Engineer,"
£90,000 - £120,000 a year","
REG UK","
Skilled in coding, experienced in algorithms, data structures, complexity analysis, and software design. My client is looking for a Machine Learning Engineer,…"
16,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
18,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
Data Scientist | Birmingham | £50,000 - £60,000. An opportunity for a Data Scientist in Birmingham for £50,000- £60,000 to join a very prestigious digital…"
1,London,Private Equity Data Scientist,"
£40,000 - £50,000 a year","
Capricorn Capital Partners UK","
We are looking to add a data scientist with experience in data analysis and statistical modelling to the team. Analyse raw and messy data."
2,London,Senior Data Scientist / Machine Learning Engineer,"
£42,500 - £57,500 a year","
decisionLab Ltd","
We are seeking to expand our talented and dynamic team of data scientists. We are seeking to appoint data scientists / machine learning engineers as full-time…"
3,London,Senior Data Scientist - London,"
£70,000 - £80,000 a year","
Smartlytics Consultancy Limited","
Smartlytics Consultancy a small analytics consultancy is looking for 2x experienced senior data scientists to join our team. AWS, Azure or GCP experience."
4,London W6,Data Scientist,"
£35,000 - £90,000 a year","
causaLens","
We are looking for a motivated and high-achieving Data Scientist to join our team working on Automated Machine Learning for time-series."
6,Ipswich,Data Scientist,"
£60,000 - £70,000 a year","
Dynamix Recruitment Ltd","
Mentor and help develop fellow Data Scientists. As a senior data scientist within the exciting, new claims advanced analytics capability, you will be building…"
12,London,Data Scientist,"
£50,000 - £60,000 a year","
Aspire Data Recruitment","
As well as technical experience with some of the core Python data science libraries (scikit-learn, Numpy/Scipy, pandas, matplotlib, Jupyter notebooks), you will…"
13,London,Data Scientist,"
£75,000 - £85,000 a year","
Woolf Group","
Leading retail bank based in London are looking to recruit an experienced Data Scientist to join their team. A commercially focused mind-set, with a passion for…"
17,Birmingham,Data Scientist,"
£50,000 - £60,000 a year","

Opus Recruitment Solutions","
Data Scientist | Birmingham | £50,000 - £60,000. An opportunity for a Data Scientist in Birmingham for £50,000- £60,000 to join a very prestigious digital…"
18,London,"Data Scientist - SAS, R, Spark, Python, Big Data, Azure","
£500 - £1,000 a day","

Senitor Associates","
Data Scientist - SAS, R, Spark, Python, Big Data, Azure Microservices, Analytics Statistical Modelling, Machine Learning - Qatar I am currently on the lookout…"
